City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,Allanridge,ZA,2021-01-27 21:53:34,-27.7543,26.6438,64.99,91,100,2.48
270,Brookhaven,US,2021-01-27 21:53:34,31.5791,-90.4407,57.99,71,31,12.97
271,San Patricio,US,2021-01-27 21:53:34,28.017,-97.5169,73.4,20,75,13.8
272,Nelson Bay,AU,2021-01-27 21:53:34,-32.7167,152.15,70.0,100,90,19.57
273,Taoudenni,ML,2021-01-27 21:53:34,22.6783,-3.9836,70.34,28,0,14.79
274,Abu Dhabi,AE,2021-01-27 21:52:45,24.4667,54.3667,66.2,82,0,3.44
275,Surgut,RU,2021-01-27 21:53:35,61.25,73.4167,-23.8,76,40,6.71
276,Kupang,ID,2021-01-27 21:50:52,-10.1667,123.5833,78.8,94,90,12.66
277,Saint-Augustin,CA,2021-01-27 21:53:35,51.226,-58.6502,16.2,92,59,9.69
278,Pemba,MZ,2021-01-27 21:53:35,-12.974,40.5178,80.6,83,20,8.05
279,Berdigestyakh,RU,2021-01-27 21:53:36,62.0989,126.6992,-44.12,78,100,2.57
280,Mokhsogollokh,RU,2021-01-27 21:53:36,61.4681,128.9203,-43.06,80,100,3.15
281,Palmas Bellas,PA,2021-01-27 21:53:36,9.2319,-80.0867,81.0,80,27,11.01
282,Galle,LK,2021-01-27 21:53:36,6.0367,80.217,75.81,78,44,3.8
283,Korocha,RU,2021-01-27 21:53:36,50.8107,37.1953,35.6,93,75,15.66
284,Avera,US,2021-01-27 21:53:37,33.194,-82.5271,59.0,94,90,8.05
285,Custoias,PT,2021-01-27 21:53:14,41.1053,-7.321,55.0,9,100,3.33
286,Khatanga,RU,2021-01-27 21:53:37,71.9667,102.5,-30.08,80,0,7.31
287,Oga,IT,2021-01-27 21:53:37,46.4631,10.347,43.0,93,90,3.44
288,Ende,ID,2021-01-27 21:53:37,-8.8432,121.6623,78.64,80,100,5.88
289,Russell,US,2021-01-27 21:53:38,32.3502,-85.1999,61.0,72,90,6.91
290,Poum,NC,2021-01-27 21:53:38,-20.2333,164.0167,80.35,75,33,8.75
